,code,occupation,tasks,score
3383,9332,Animal-Drawn Machinery And Vehicle Drivers,Driving animals hitched to farm or other machinery,0.1
3384,9332,Animal-Drawn Machinery And Vehicle Drivers,Driving working elephants,0.1
3385,9332,Animal-Drawn Machinery And Vehicle Drivers,"Maintaining vehicles or machinery, making minor repairs and installing replacement parts",0.2
3386,9333,Transport And Storage Labourers,"Packing office or household furniture, machines, appliances and related goods to be transported from one place to another",0.1
3387,9333,Transport And Storage Labourers,Conveying materials from or around the work area in an industrial establishment,0.05
3388,9333,Transport And Storage Labourers,Assisting in tying down loads and covering them with tarpaulin,0.05
3389,9333,Transport And Storage Labourers,"Carrying goods to be loaded on or unloaded from vans, trucks, wagons, ships or aircraft",0.05
3390,9333,Transport And Storage Labourers,Carrying and stacking goods in warehouses and similar establishments,0.1
3391,9333,Transport And Storage Labourers,Operating an electric powered forklift to transport goods in the warehouse,0.1
3392,9333,Transport And Storage Labourers,Loading goods into and unloading from the trailer,0.05
3393,9333,Transport And Storage Labourers,"Ordering and replacing goods taken, stock, entering data and checking products to be shipped against shipping orders",0.4
3394,9333,Transport And Storage Labourers,Taking charge of regular maintenance of forklift,0.1
3395,9334,Shelf Fillers,"Placing goods neatly in bins and on racks, and stacking bulky goods on the floor",0.1
3396,9334,Shelf Fillers,Filling shelves with goods ensuring goods with the earliest use-by dates are at the front of shelves,0.1
3397,9334,Shelf Fillers,Removing goods with past due use-by dates,0.1
3398,9334,Shelf Fillers,Maintaining shelf order by removing stock belonging in a different location,0.1
3399,9334,Shelf Fillers,Noting goods that have been sold and collecting goods needed from the stockroom,0.1
3400,9334,Shelf Fillers,Obtaining articles for customers from the shelf or stockroom,0.05
3401,9334,Shelf Fillers,Directing customers to location of articles sought,0.2
3402,9334,Shelf Fillers,"Receiving, opening, unpacking and inspecting for damage merchandise from manufacturers or distributors",0.1
3403,9411,Fast Food Preparers,"Preparing simple or pre-prepared foods and beverages such as sandwiches, burgers, pizzas, salads and coffee",0.1
3404,9411,Fast Food Preparers,"Washing, cutting, weighing and mixing foods for cooking",0.1
3405,9411,Fast Food Preparers,"Operating single-process cooking equipment such as grills, deep-fat fryers or griddles",0.1
3406,9411,Fast Food Preparers,Cooking pre-prepared food,0.1
3407,9411,Fast Food Preparers,"Cleaning the food preparation area, surfaces and cooking utensils",0.05
3408,9411,Fast Food Preparers,Ordering and taking delivery of fast food ingredients,0.4
3409,9411,Fast Food Preparers,"Maintaining standards of sanitation, health and safety in the workplace",0.2
3410,9411,Fast Food Preparers,Ensuring that food prepared meets the requirements for quality and quantity.,0.1
3411,9412,Kitchen Helpers,"Cleaning the kitchen, food preparation areas and food serving counters",0.1
3412,9412,Kitchen Helpers,"Assisting cooks and chefs in food preparation by washing, peeling, hammering, cutting, weighing and mixing ingredients",0.1
3413,9412,Kitchen Helpers,Assembling dishes for serving,0.1
3414,9412,Kitchen Helpers,"Opening packages and storing raw materials in refrigerators, cupboards or other storage areas",0.05
3415,9412,Kitchen Helpers,"Washing dishes and kitchen utensils, and keeping them",0.05
3416,9412,Kitchen Helpers,"Preparing, cooking, filtering and heating simple food",0.1
3417,9412,Kitchen Helpers,Scraping food from dirty dishes and washing them by hand or placing them in racks or on the conveyor to the dishwashing machine,0.05
3418,9511,Street And Related Service Workers,Selling goods,0.3
3419,9511,Street And Related Service Workers,Ordering goods,0.4
3420,9511,Street And Related Service Workers,Obtaining the materials necessary to perform services,0.2
3421,9511,Street And Related Service Workers,Approaching people on the street to offer services,0.2
3422,9511,Street And Related Service Workers,Cleaning and polishing shoes,0.05
3423,9511,Street And Related Service Workers,Cleaning and polishing the car windows,0.05
3424,9511,Street And Related Service Workers,Helping drivers to find parking and making sure the car is not damaged during the absence of the driver,0.2
3425,9511,Street And Related Service Workers,Handing out leaflets and free newspapers,0.1
3426,9511,Street And Related Service Workers,Receiving immediate payment,0.1
3427,9521,Street Vendors (Excluding Food),Setting up and displaying merchandise at public places or stands,0.2
3428,9521,Street Vendors (Excluding Food),Ordering or purchasing supplies and storing stocks in barrows or stands,0.3
3429,9521,Street Vendors (Excluding Food),"Delivering merchandise, serving customers, collecting payment and giving change",0.2
3430,9611,Garbage Collectors,Driving or riding in refuse trucks,0.1
3431,9611,Garbage Collectors,"Collecting refuse from residential buildings, commercial and industrial establishments",0.1
3432,9611,Garbage Collectors,Loading refuse into bins or refuse trucks,0.05
3433,9611,Garbage Collectors,Unloading the refuse truck,0
3434,9611,Garbage Collectors,Collecting stool containers from private residences and other buildings,0.1
3435,9612,Refuse And Recyclable Waste Sorters,"Collecting items for recycling from domestic, commercial and industrial premises or from public places such as streets",0.1
3436,9612,Refuse And Recyclable Waste Sorters,"Sorting paper, glass, plastic, aluminium or other recycling materials by type",0.05
3437,9612,Refuse And Recyclable Waste Sorters,Placing these items in designated compartments,0.1
3438,9612,Refuse And Recyclable Waste Sorters,"Identifying and setting aside items of furniture, equipment, machinery or components that are suitable for repair or re-use",0.2
3439,9612,Refuse And Recyclable Waste Sorters,Selling recyclable or reusable materials,0.2
3440,9613,Sweepers And Related Labourers,"Sweeping streets, parks, airports, stations and similar public places",0.1
3441,9613,Sweepers And Related Labourers,Operating a mechanical suction sweeper for cleaning roads,0.1
3442,9613,Sweepers And Related Labourers,Beating dust out of carpets by using a carpet-beater,0.05
3443,9613,Sweepers And Related Labourers,Cleaning up rubbish and leaves from streets and parks,0
3444,9613,Sweepers And Related Labourers,Cleaning kindergarten grounds,0.05
3445,9621,"Messengers, Package Deliverers And Luggage Porters","Assisting the smooth running of the office daily by ensuring the movement of files, delivery and registration of letters, memos and other documents and making photocopies of letters, memos and documents",0.2
3446,9621,"Messengers, Package Deliverers And Luggage Porters","Delivering messages, packages and other items within an establishment or between establishments, or elsewhere",0.1
3447,9621,"Messengers, Package Deliverers And Luggage Porters",Performing the duties of a post-runner,0.1
3448,9621,"Messengers, Package Deliverers And Luggage Porters","Delivering various goods to and from enterprises, shops, households and other places",0.1
3449,9621,"Messengers, Package Deliverers And Luggage Porters","Carrying and delivering luggage at stations, airports and elsewhere",0.1
3450,9621,"Messengers, Package Deliverers And Luggage Porters","Collecting and delivering files, messages, documents and other items within or on behalf of an office, industrial establishment or business",0.1
3451,9621,"Messengers, Package Deliverers And Luggage Porters","Putting up posters or displaying posters and banners in prominent places to advertise entertainment, political events or product",0.1
3452,9621,"Messengers, Package Deliverers And Luggage Porters","Providing services to Members of Parliament during parliamentary sittings, distributing letters, brochures and notes as well as monitoring the safety and discipline of MPs and visitors in the house as well as helping to organise books / pamphlets and the Order Paper before the sitting commences",0.2
3453,9622,Odd-Job Persons,"Maintaining the cleanliness of the area / office building, planting and tending trees, fertilising, pruning trees, applying pesticide to grass and do arranging potted plants for interior decoration",0.05
3454,9622,Odd-Job Persons,"Repairing broken windows, screens, doors, fences, barbecues, picnic tables, shelves, cupboards and other items",0.05
3455,9622,Odd-Job Persons,Replacing defective items such as light bulbs,0.05
3456,9622,Odd-Job Persons,"Repairing and painting interior and exterior surfaces such as walls, ceilings and fences",0.1
3457,9622,Odd-Job Persons,Adjusting doors and windows,0.1
3458,9622,Odd-Job Persons,Replacing tap washers,0.05
3459,9622,Odd-Job Persons,Putting up handrails and grab rails,0.05
3460,9622,Odd-Job Persons,Unloading coal or wood and putting it into cellars of private households or establishments,0
3461,9622,Odd-Job Persons,Performing odd jobs,0.1
3462,9623,Meter Readers And Vending-Machine Collectors,Filling storage spaces of vending machines and collecting money from their containers,0.1
3463,9623,Meter Readers And Vending-Machine Collectors,Collecting money from parking meters and similar coin-boxes,0.1
